filepath,text,w_sine,w_sq,w_saw,w_tri,a,d,s,r,cutoff
synthetic_dynamic_dataset/dyn_pure_tone.wav,pure tone,1.0,0.0,0.0,0.0,0.1,0.1,1.0,0.1,1.0
synthetic_dynamic_dataset/dyn_pure_pad.wav,pure pad,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.6
synthetic_dynamic_dataset/dyn_pure_pluck.wav,pure pluck,1.0,0.0,0.0,0.0,0.01,0.2,0.0,0.2,1.0
synthetic_dynamic_dataset/dyn_bright_tone.wav,bright tone,0.0,0.0,0.8,0.2,0.1,0.1,1.0,0.1,1.0
synthetic_dynamic_dataset/dyn_bright_pad.wav,bright pad,0.0,0.0,0.8,0.2,0.5,0.0,1.0,0.5,0.6
synthetic_dynamic_dataset/dyn_bright_pluck.wav,bright pluck,0.0,0.0,0.8,0.2,0.01,0.2,0.0,0.2,1.0
synthetic_dynamic_dataset/dyn_harsh_tone.wav,harsh tone,0.0,0.5,0.5,0.0,0.1,0.1,1.0,0.1,1.0
synthetic_dynamic_dataset/dyn_harsh_pad.wav,harsh pad,0.0,0.5,0.5,0.0,0.5,0.0,1.0,0.5,0.6
synthetic_dynamic_dataset/dyn_harsh_pluck.wav,harsh pluck,0.0,0.5,0.5,0.0,0.01,0.2,0.0,0.2,1.0
synthetic_dynamic_dataset/dyn_warm_tone.wav,warm tone,0.6,0.0,0.0,0.4,0.1,0.1,1.0,0.1,1.0
synthetic_dynamic_dataset/dyn_warm_pad.wav,warm pad,0.6,0.0,0.0,0.4,0.5,0.0,1.0,0.5,0.6
synthetic_dynamic_dataset/dyn_warm_pluck.wav,warm pluck,0.6,0.0,0.0,0.4,0.01,0.2,0.0,0.2,1.0
synthetic_dynamic_dataset/dyn_hollow_tone.wav,hollow tone,0.0,0.9,0.0,0.1,0.1,0.1,1.0,0.1,1.0
synthetic_dynamic_dataset/dyn_hollow_pad.wav,hollow pad,0.0,0.9,0.0,0.1,0.5,0.0,1.0,0.5,0.6
synthetic_dynamic_dataset/dyn_hollow_pluck.wav,hollow pluck,0.0,0.9,0.0,0.1,0.01,0.2,0.0,0.2,1.0
