filepath,text,weight_sine,weight_square,weight_sawtooth,weight_triangle
synthetic_timbre_dataset/synth_4ch_0000_pure.wav,pure tone,1.0,0.0,0.0,0.0
synthetic_timbre_dataset/synth_4ch_0001_pure.wav,pure sound,1.0,0.0,0.0,0.0
synthetic_timbre_dataset/synth_4ch_0002_pure.wav,pure texture,1.0,0.0,0.0,0.0
synthetic_timbre_dataset/synth_4ch_0003_smooth.wav,smooth tone,0.9,0.0,0.0,0.1
synthetic_timbre_dataset/synth_4ch_0004_smooth.wav,smooth sound,0.9,0.0,0.0,0.1
synthetic_timbre_dataset/synth_4ch_0005_smooth.wav,smooth texture,0.9,0.0,0.0,0.1
synthetic_timbre_dataset/synth_4ch_0006_warm.wav,warm tone,0.6,0.0,0.0,0.4
synthetic_timbre_dataset/synth_4ch_0007_warm.wav,warm sound,0.6,0.0,0.0,0.4
synthetic_timbre_dataset/synth_4ch_0008_warm.wav,warm texture,0.6,0.0,0.0,0.4
synthetic_timbre_dataset/synth_4ch_0009_mellow.wav,mellow tone,0.5,0.0,0.0,0.5
synthetic_timbre_dataset/synth_4ch_0010_mellow.wav,mellow sound,0.5,0.0,0.0,0.5
synthetic_timbre_dataset/synth_4ch_0011_mellow.wav,mellow texture,0.5,0.0,0.0,0.5
synthetic_timbre_dataset/synth_4ch_0012_bright.wav,bright tone,0.0,0.0,0.8,0.2
synthetic_timbre_dataset/synth_4ch_0013_bright.wav,bright sound,0.0,0.0,0.8,0.2
synthetic_timbre_dataset/synth_4ch_0014_bright.wav,bright texture,0.0,0.0,0.8,0.2
synthetic_timbre_dataset/synth_4ch_0015_sharp.wav,sharp tone,0.0,0.0,1.0,0.0
synthetic_timbre_dataset/synth_4ch_0016_sharp.wav,sharp sound,0.0,0.0,1.0,0.0
synthetic_timbre_dataset/synth_4ch_0017_sharp.wav,sharp texture,0.0,0.0,1.0,0.0
synthetic_timbre_dataset/synth_4ch_0018_harsh.wav,harsh tone,0.0,0.5,0.5,0.0
synthetic_timbre_dataset/synth_4ch_0019_harsh.wav,harsh sound,0.0,0.5,0.5,0.0
synthetic_timbre_dataset/synth_4ch_0020_harsh.wav,harsh texture,0.0,0.5,0.5,0.0
synthetic_timbre_dataset/synth_4ch_0021_hollow.wav,hollow tone,0.0,0.9,0.0,0.1
synthetic_timbre_dataset/synth_4ch_0022_hollow.wav,hollow sound,0.0,0.9,0.0,0.1
synthetic_timbre_dataset/synth_4ch_0023_hollow.wav,hollow texture,0.0,0.9,0.0,0.1
synthetic_timbre_dataset/synth_4ch_0024_woody.wav,woody tone,0.0,0.7,0.0,0.3
synthetic_timbre_dataset/synth_4ch_0025_woody.wav,woody sound,0.0,0.7,0.0,0.3
synthetic_timbre_dataset/synth_4ch_0026_woody.wav,woody texture,0.0,0.7,0.0,0.3
synthetic_timbre_dataset/synth_4ch_0027_buzzy.wav,buzzy tone,0.0,0.2,0.8,0.0
synthetic_timbre_dataset/synth_4ch_0028_buzzy.wav,buzzy sound,0.0,0.2,0.8,0.0
synthetic_timbre_dataset/synth_4ch_0029_buzzy.wav,buzzy texture,0.0,0.2,0.8,0.0
synthetic_timbre_dataset/synth_4ch_0030_gritty.wav,gritty tone,0.0,0.5,0.5,0.0
synthetic_timbre_dataset/synth_4ch_0031_gritty.wav,gritty sound,0.0,0.5,0.5,0.0
synthetic_timbre_dataset/synth_4ch_0032_gritty.wav,gritty texture,0.0,0.5,0.5,0.0
synthetic_timbre_dataset/synth_4ch_0033_airy.wav,airy tone,0.6,0.0,0.4,0.0
synthetic_timbre_dataset/synth_4ch_0034_airy.wav,airy sound,0.6,0.0,0.4,0.0
synthetic_timbre_dataset/synth_4ch_0035_airy.wav,airy texture,0.6,0.0,0.4,0.0
synthetic_timbre_dataset/synth_4ch_0036_crunchy.wav,crunchy tone,0.0,0.6,0.4,0.0
synthetic_timbre_dataset/synth_4ch_0037_crunchy.wav,crunchy sound,0.0,0.6,0.4,0.0
synthetic_timbre_dataset/synth_4ch_0038_crunchy.wav,crunchy texture,0.0,0.6,0.4,0.0
