name,quantum,embedding_dim,architecture,batch_size,learning_rate,epochs,best_loss,final_loss,loss_type,training_time_min,success,n_qubits,circuit_depth,dropout
classical_baseline_large,False,768,resnet,16,5e-05,15,0.1752397779907499,0.19272055938130334,train,33.17200048367182,True,,,
classical_baseline_large,False,768,resnet,16,5e-05,15,0.18831887060687655,0.18831887060687655,train,32.870955948034926,True,,,
quantum_8qubit_depth1,True,768,resnet,16,0.0001,15,0.192730351572945,0.192730351572945,train,35.49805218378703,True,8.0,1.0,0.3
quantum_6qubit_depth2,True,768,resnet,16,0.0001,15,0.19386113647903716,0.19386113647903716,train,34.05377486546834,True,6.0,2.0,0.3
classical_baseline_small,False,512,resnet,32,0.0001,15,0.19971481439742175,0.19971481439742175,train,32.12184121608734,True,,,
classical_baseline_small,False,512,resnet,32,0.0001,15,0.2023357559334148,0.2023357559334148,train,31.953964817523957,True,,,
classical_baseline_large,False,768,resnet,16,5e-05,15,0.23875348754869452,0.23875348754869452,train,163.35453008413316,True,,,
quantum_4qubit_depth2,True,768,resnet,16,0.0001,15,0.24217787491423742,0.24217787491423742,train,34.60928560098012,True,4.0,2.0,0.3
classical_baseline_small,False,512,resnet,32,0.0001,15,0.2858848828693916,0.2858848828693916,train,163.44251282612484,True,,,
quantum_8qubit_depth3_high_reg,True,768,resnet,16,5e-05,15,0.30068642771321125,0.30068642771321125,train,199.44873751004536,True,8.0,3.0,0.4
quantum_8qubit_depth3_high_reg,True,768,resnet,16,5e-05,15,0.31882089092617943,0.31882089092617943,train,36.36561258236567,True,8.0,3.0,0.4
quantum_4qubit_depth2,True,768,resnet,16,0.0001,15,0.420911684279041,0.420911684279041,train,174.56305916706722,True,4.0,2.0,0.3
quantum_6qubit_depth2,True,768,resnet,16,0.0001,15,0.4315165288360982,0.4315165288360982,train,181.37324820756913,True,6.0,2.0,0.3
quantum_8qubit_depth1,True,768,resnet,16,0.0001,15,0.4670670205919907,0.4670670205919907,train,198.4426143725713,True,8.0,1.0,0.3
classical_ast,False,768,ast,16,0.0001,15,0.695405514846588,0.695405514846588,train,214.1562341292699,True,,,
classical_ast,False,768,ast,16,0.0001,15,0.7028766756966001,0.7028766756966001,train,37.398102295398715,True,,,
classical_ast,False,768,ast,16,0.0001,15,0.7325308351289659,0.7325308351289659,train,36.39209510087967,True,,,
